Inventory Number,Title,Art Type,Full Year,Media,Image,Framed,Current Owner,Contact Id,Artist Id,Location,Bin,Confirmed Middleton Hills,
A-001112,WRAPPED FLOORS,FINE ART,1983,LITHOGRAPH,i:\image\001112.jpg,true,0,,2070,2169,1B,TRUE,
A-001122,BLUE TONDO,FINE ART,,SERIGRAPH,I:\Image\001122.jpg,true,0,,123,2169,2A,TRUE,
A-001123,UNTITLED 1974,FINE ART,,SERIGRAPH,i:\image\001123.jpg,true,0,,123,2169,2A,TRUE,
A-001124,UNTITLED 1974,FINE ART,,SERIGRAPH,i:\image\001124.jpg,true,0,,123,2169,2A,TRUE,
A-001125,I.N.D. PASTORALE,FINE ART,,SERIGRAPH,i:\image\001125.jpg,true,0,,2148,2169,2A,TRUE,
A-001126,HARLEM DIVISION EQUIVALENT,FINE ART,,SERIGRAPH,i:\image\001126.jpg,true,0,,2148,2169,2A,TRUE,
A-001127,UNTITLED II,FINE ART,,SERIGRAPH,i:\image\001127.jpg,true,0,,2148,2169,2A,TRUE,
A-001128,GULF STATION,FINE ART,,SERIGRAPH,i:\image\001128.jpg,true,0,,2148,2169,2A,TRUE,
A-001129,GINGER ROGERS & FRED ASTAIRE,FINE ART,,SERIGRAPH,i:\image\001129.jpg,true,0,,2131,2169,2A,TRUE,
A-001130,18th STREET,FINE ART,,SERIGRAPH,i:\image\001130.jpg,true,0,,120,2169,S,,
A-001131,71st STREET,FINE ART,,SERIGRAPH,i:\image\001131.jpg,true,0,,120,2169,,,
A-001132,UNTITLED No. 1,FINE ART,,SERIGRAPH,i:\image\001132.jpg,true,0,,2123,2169,2A,TRUE,
A-001133,UNTITLED No. 2,FINE ART,,SERIGRAPH,i:\image\001133.jpg,true,0,,2123,2169,2A,TRUE,
A-001134,JASON'S RABBIT HOLLER,FINE ART,,"AQUATINT, BLOCKPRINT",i:\image\001134.jpg,true,0,,7,2169,2B,TRUE,
A-001135,CHICAGO TENEMENT,FINE ART,,"AQUATINT, BLOCKPRINT",i:\image\001135.jpg,true,0,,7,2169,2B,TRUE,
A-001136,DRAWING BOARDS,FINE ART,,ETCHING,I:\Image\smith drawing boards.jpg,true,0,,2136,2169,23A,TRUE,
A-001137,DRAWING BOARDS,FINE ART,,ETCHING,I:\Image\smith drawing boards.jpg,true,0,,2136,2169,16B,TRUE,
A-001138,DRAWING BOARDS,FINE ART,,ETCHING,I:\Image\smith drawing boards.jpg,true,0,,2136,2169,16B,TRUE,
A-001139,UNTITLED,FINE ART,,ETCHING,i:\image\001139.jpg,true,0,,1998,2169,2B,TRUE,
A-001140,UNTITLED,FINE ART,,ETCHING,i:\image\001140.jpg,true,0,,1998,2169,2B,TRUE,
A-001141,EAST END,FINE ART,,SERIGRAPH,i:\image\001141.jpg,true,0,,2043,2169,2B,TRUE,
A-001147,GOETHE,FINE ART,1982,SERIGRAPH,i:\image\001147.jpg,true,0,,2006,2169,16A,TRUE,
A-001148,THREE FROM THE NORTH  COAST,FINE ART,,"ETCHING, AQUATINT",i:\image\001148.jpg,true,0,,2153,2169,2B,TRUE,
A-001149,RANCHO WOODCUT HEART,FINE ART,1982,WOODCUT,i:\image\001149.jpg,true,0,,2074,2169,,,
A-001150,MISSION BASKETS,FINE ART,,"ETCHING, AQUATINT",i:\image\001150.jpg,true,0,,2153,2169,3A,TRUE,
A-001151,NAVAJO CEREMONIAL,FINE ART,,"ETCHING, AQUATINT",i:\image\001151.jpg,true,0,,2153,2169,3A,TRUE,
A-001180,MORNING AFTER NIGHT,FINE ART,,SERIGRAPH,i:\image\001180.jpg,true,0,,2073,2169,3A,TRUE,
A-001184,UNTITLED,FINE ART,,LITHOGRAPH,i:\image\001184.jpg,true,0,,2037,2169,3A,TRUE,
A-001185,UNTITLED,FINE ART,,LITHOGRAPH,i:\image\001185.jpg,true,0,,2037,2169,3A,TRUE,
A-001188,BLUE ACTION,FINE ART,,SERIGRAPH,I:\Image\riget blue action.jpg,true,0,,174,2790,,,
A-001191,ECLIPTA,FINE ART,,SERIGRAPH,I:\Image\riget eclipta.jpg,true,0,,174,2790,,,
A-001192,SUMMER,FINE ART,,SERIGRAPH,I:\Image\riget summer.jpg,true,0,,174,2790,,,
A-001208,HOUSE ON FIRE,FINE ART,,LITHOGRAPH,i:\image\001208.jpg,true,0,,2068,2169,23A,TRUE,
A-001210,UNTITLED,FINE ART,,MONOPRINT ON HANDMADE PAPER,i:\image\001210.jpg,true,0,,31,2169,3A,TRUE,
A-001216,TIGUL,FINE ART,,HAND MADE PAPER,I:\Image\001216.jpg,true,0,,31,2790,3A,TRUE,
A-001239,FALLING WATER,FINE ART,1981,AQUATINT,i:\image\001239.jpg,true,0,,93,2169,3A,TRUE,
A-001255,EVENING MEMORY VII,FINE ART,,,I:\Image\rodman evening memory vii.jpg,false,0,,2142,2518,A2,TRUE,
A-001289,PREDATEUR,FINE ART,,LITHOGRAPH,i:\image\001289.jpg,true,0,,2128,2169,3A,TRUE,
A-001307,ABSTRACTION IN ORANGE,FINE ART,,"ETCHING, AQUATINT",i:\image\001307.jpg,true,0,,1999,2169,3B,TRUE,
